Name,Comment
Poonam Rawat,"Thankyou Henry harvin for your support I loved your training 
😊👍🏻"
Manisha Singh,"have joined content writing course recently in Henry Harvin Education and so far, I am enjoying the course the tasks given are extremely fun and explanations given in the course are very easy to understand. Even the technical part is easy to grasp. Mentor is very helpful. So far, we were given many tasks like blog writing poetry writing and story writing. We are also taught how to use different search engine. Designing is another new thing I have learned hear Example Designing cover page and logos. Classwork given are also fun. You will get simultaneously practical experience with theory"
Kim Kapoor,"With the help of Henry Harvin platform I developed my writing skills.
Trainer Ms. Vandana was amazing ❤️👍"
Mehjabee Ali,"Very useful feedback, thanks"
NILANCHAL PRADHAN,Excited
iqra jilani,"Thanku for this informativ3 feedback, i checked the webiste too, the topics included in curiculum are highly demanding nowadays.. Will definitely join."
Vipin Gupta,Last year I completed my content writing course from Henry Harvin Education.The management of Henry Harvin Education provided me a very good trainer and I got to learn a lot from there.I see a lot of reviews by Henry Harvin and all the reviews were very good reviews. I also want to give Henry Harvin a very good review.Thanks Henry Harvin for learning so much for me.
Lucky Sandilya,"In this module, you craft a content marketing strategy by first examining the journey of your buyer or audience. This is an excellent page that helps a person start content writing. The instructor is teaching very detailed and guiding the student throughout the content writing course. I am so glad  I purchased this course. when I had taken this course shortly after starting my blog, I would have had better traffic and better subscribers lists quickly. The information is extremely useful too and it's the best content writing course online. Thank you a  lot for giving me this amazing course."
PÂŘÂĐÏŞË ĞÃMÎŃĢ,"The course curriculum is really amazing,  properly designed with every topic. Thank you for this feedback"
Surabhi Bharati,I completely resonate with your review Pooja. Henry Harvin's content writing course encompasses all the nuances of content writing that are relevant and are in demand these days. It makes you industry-ready.
khalid kamal,This is the best institute to learn and update the skills
Vibhati Yadav,"I have also seen many reviews about Henry Harvin , and its seems content writing course is quite interesting .Thankyou for feedback as well"
Deepak verma,It is the best content writing course for new writers
AMIT KUMAR SAHU,I found your reviews will definitely help me to choose the best course from Henry Harvin Education. Thank you so much to you and just wanted to ask what is the cost for this course.
Angel Akansha,"Excellent reviews, i also have done content writing course, team & trainers are very very supportive, thanks henry harvin"
Vipin Gupta,Henry Harvin Education is the good platform to start learning or to update skills and experience more about something.
nimra jilani,Informative enough!! I have done Six Sigma and its helping me a lot!!  Thanks team Henry Harvin 😇
Ankit Kumar,I would love to go with this course now😋
Pankaj Singh,Best content writing course in india
Aakansha Srivastava,Best content writing course
Vibhati Yadav,Thanks Henry Harvin for giving this knowledge
Henry Harvin Education,My pleasure!
Kim Kapoor,Well designed curriculum to become professional Content writer👍
success laiba,Very informative workshop.
tarun rai,Henry Harvin's Content Writing module is so well designed that if you want to become professional in this field this course is some thing which you should always go for whether you want to write for Domestic Market or International a big thanks to the Trainer for being so perfect.
khalid kamal,This is the best content writing course for the new writers
me garima,Workshop was very informative
Shanno Saifi,Thank you HENRY HARVIN for Worldwide trainers and high class Training quality...☺️ 👍
Angel Akansha,Thanks for excellent reviews
Henry Harvin Education,Our pleasure!
Rohan Yadav,Best Content Writing Tutorial for Beginners
Henry Harvin Education,Glad you think so!
Mehjabee Ali,Very informative session Mr. Gaurav. thanks
Mushir Khan,Amazing course
Henry Harvin Education,It really is!
Best Course News,"Thank you very much, sir you are only one on youtube that have completly covered this difficult and important topic."
Deepti Kumari,Awesome
success laiba,Six sigma is one of the best courses offered by Henry Harvin
Kim Kapoor,This is an amazing management platform for learning 👍
Mehjabee Ali,thanks for the feed back
tarun rai,"Great review earlier i was bit confused about what is the prerequisite for this course but after going through your feedback i can say that it suits at every level in the organization, Thanks"
Richa Karna,Thank you Sir for providing valuable information . You elucidated this clearly.
Mushir Khan,Best course for the management stream.
me garima,"Indepth Information about the course, keep it up"
Shilpa Bhardwaj,Nice 👍🏻
Aakansha Srivastava,Really awesome information
SUNITA YADAV,Nice! Very helpful review!!
Poonam Rawat,Amazing 😊👍🏻👍🏻
Shanno Saifi,You guys give good information regarding courses best for people... It helps people to make decisions  🙏
Nimisha Jain,"Thank You for valuable information. Your review helped me alot, Henry Harvin Six Sigma Green Belt course"
khalid kamal,This is the best course for the management people.
abhishek squareroot,You are doing Great Job spreading awareness keep it up
Rupali Choudhury,Can I know more about the brush up courses?
tiedknot finishedvideos,this cleared all my doubts. thanks.
amlan 2020dump,how is the behavior of the faculty members?
Cuts film,some information about the project would be helpful.
Pratyusa Choudhury,Where can i receive more information about six sigma?
Tie D Knot,what is the course fees?
pratyusha choudhury,what is done in brush-up sessions?
Sukalpa Kundu,Is the six sigma course also taught online?
aratrika kanishk,What does the website mean by job oriented outcomes?
Sounak Kundu,My friends and I want to book an entire class. Is that possible?
Deepak verma,Henry Harvin such a great training platform
Aakansha Srivastava,I recommend this course... Very helpful for me..
Mushir Khan,Henry Harvin is the best platform to learn content writing course.
Surabhi Bharati,These reviews simply assert that my decision to go for Henry Harvin's content writing course was timely and correct. Its a great course to start your journey as a professional writer.
Poonam Rawat,Amazing ☺️👌🏻
Manisha Singh,"Henry Harvin Education provides short duration courses which are worthy of time and money. No matter the duration, the courses are taught thoroughly."
PÂŘÂĐÏŞË ĞÃMÎŃĢ,"Henry Harvin is one of the best platform to learn content writing course, such elaborated curriculum and experienced faculty."
khalid kamal,This is the best content writing course for the new writers
khalid kamal,This is the best content writing course for the new writers
Vibhati Yadav,Thanks a lot for this video ...it really helps me a lot.
Vipin Chaudhary,The content writing course by Henry Harvin is very practical as it allows students to engage with the course modules by the means of tasks and assignments. The institute has always been believing in the principle of practical training being better than theoretical training.
Mehjabee Ali,"useful feedback to go for the course, thanks"
Kim Kapoor,"A great platform for the understanding of relevant content to write, also enhance the skills to grow more with the great writer's voice."
amit sharma vlog,I have a question that in your institute content writter course provide in which language .i mean teacher's provide information about the course in hindi or english .
Vipin Chaudhary,English
Best Course News,Thank you for sharing great content
Kim Kapoor,Great learning and valuable session
Henry Harvin Education,Glad you think so!
tarun rai,As we all know that in this era of digital medium when you are good digital content writer it can enhance your skill to great level wherever digital marketing such as SEO/SMO/Vblogs/Blogs comes in to picture so it can really increase your level of employability if you have done this course from henry harvin because of the exaustive syllabus which is being followed at this Institute
Henry Harvin Education,thank you for sharing your experience
Mehjabee Ali,"very good and informative demo, thanks henry"
Henry Harvin Education,Very welcome
iqra jilani,"The curiculum is designed in detailed way, good course for beginners...👍"
Henry Harvin Education,Glad you think so!
Manisha Singh,Very informative demo session..I will surely join this course from Henry Harvin.
Henry Harvin Education,All the best
Suhana Khan,I am thankful for this Henry Harvin Education. awesome content writing Course institutes in India
Henry Harvin Education,It's my pleasure
Deepak verma,Wow nice teaching skill i am planning to enroll for this Course
Henry Harvin Education,Thanks and welcome
Mushir Khan,This is the great experience while learning the course from Henry Harvin Education.
Henry Harvin Education,thank you for sharing your experience .
Angel Akansha,"The techniques are corner stones to mould the raw ideas of the ideator into sublime beauty, Thank you henry harvin for giving us  information regrading Content writing course..."
Henry Harvin Education,You're very welcome
Vipin Chaudhary,"Overall, it is a good experience staying and learning at Henry Harvin Education"
Henry Harvin Education,thank you .
nimra jilani,Very informative especially for beginners..
Henry Harvin Education,Glad you think so!
Abhishek Chauhan,Best training provider of content writing.
Henry Harvin Education,thank you .
PÂŘÂĐÏŞË ĞÃMÎŃĢ,"Such a detailed and good demo, thank you for this Henry Harvin Education"
Henry Harvin Education,Glad you enjoyed it!
SUNITA YADAV,Henry Harvin's content writing course is the best that nourishes our writing skills.
Henry Harvin Education,thank you .
Ankit Kumar,This is something we call smooth learning which gives the benefits of making career in the field of Digital marketing.
Henry Harvin Education,thank you for sharing your experience .
Deepti Kumari,Best video for content writing.. Thank you team Henry Harvin
Henry Harvin Education,Thanks to you
khalid kamal,This is the best content writing course for the new writers
Henry Harvin Education,thank you.
success laiba,Really so informative.it will really help people to start with content writing field
Henry Harvin Education,thank you.
Megha Chawla,Outstanding information golden opportunity given by Henry harvin .content writing is a great course that nourishes your writing skills
Henry Harvin Education,thank you
Shilpa Bhardwaj,Content writing course from Henry Harvin is gud & very informative 👍🏻
Vibhati Yadav,Nice video of content writing....i will definitely join in future
Aakansha Srivastava,Satisfied with demo... Will join shortly
Geeky tricks,Nice introduction for content writing course....
Suhana Khan,Generally excellent Content Writing Course. I totally appreciate this Henry Harvin. Proceed with the great work!
Henry Harvin Education,You're very welcome!
Vipin Gupta,My experience with Henry Harvin. was excellent they are very sportive.
Henry Harvin Education,thank you for sharing your experience.
Angel Akansha,Thanks for the excellent reviews of Content writing course..
Henry Harvin Education,Most welcome!
success laiba,Very informative vidoe.thanks Henry Harvin for imparting knowledge on content writing course
Henry Harvin Education,Glad it was helpful!
tarun rai,Content writing course syllabus and superb trainers make this course one of the most searched course in Google to go for in 2021
Henry Harvin Education,thank you for sharing your experience
Geeky tricks,Wow amazing demo class thank you for sharing this video
Henry Harvin Education,You are very welcome
Vibhati Yadav,Its a good one Henry Harvin ....thanks
Henry Harvin Education,Thank you too!
PÂŘÂĐÏŞË ĞÃMÎŃĢ,The best way to spend the lockdown  learning the content writing skills from Henry Harvin Education
Henry Harvin Education,thank you for sharing your experience
Mehjabee Ali,"Great, very informative session. Thanks Henry Harvin"
Henry Harvin Education,Glad you enjoyed it
Shilpa Bhardwaj,Henry Harvin is the Best learning platform to grow more & more 👍🏻
Henry Harvin Education,thank you for sharing your experience
Manisha Singh,"Fantastic course,,, matched up my expectations completely,, enriched my resume'...landed up with a fabulous job,,"
Henry Harvin Education,thank you for sharing your experience .
Mushir Khan,This course helped me to build my career. Thanks Henry Harvin
Henry Harvin Education,thank you for sharing your experience .
khalid kamal,This is the best contact writing course for the new writers .
Henry Harvin Education,Glad you think so!
Aruja Sejal,Lockdowns gave me ample of time to utilize it in exploring new opportunities coming Infront of me...Thank you Henry Harvin for this course.This course had really helped a lot in shaping me into the career as a Content Writer..
Henry Harvin Education,thank you for sharing your experience
Poonam Rawat,Very helpful video amazing Henry harvin😎👍🏻
Henry Harvin Education,Glad you enjoyed it
Kim Kapoor,"Great mentor and very interactive sessions, Henry Harvin is great platform of learning certified courses with job opportunities 👍"
Henry Harvin Education,Thanks for that!
Suhana Khan,"Vandana a generally excellent and experienced coach, much thanks for the useful meeting"
Deepak verma,Very Knowlegable Session
me garima,Excellent workshop
Aakansha Srivastava,Very informative thankyou
Vibhati Yadav,Thanks Henry Harvin .....giving such a good video on content writing
Surabhi Bharati,We often confuse content writing with just writing on digital platform. This demo session busted the myths . Thanks Vandana Mam and Henry Harvin
Durgesh Srivastava,"Very informative, Henry Harvin content writing workshop. It was really beneficial for me and gave so many job opportunities to me. Thank you, Henry Harvin."
Poonam Rawat,Informative session
tarun rai,"IIM A ( Dream for billions) to pursue there education if recommending this course it is really a proud moment for team Henry Harvin, Thank you so much for designing this course and knowing its implementation related challenges through case studies and project based learning"
Shanno Saifi,Thanku for  this review video... It's helpful for us to make decisions over it
Aakansha Srivastava,Very useful... Thnx i will join soon
SUNITA YADAV,"Very very helpful, thanks Henry Harvin."
Poonam Rawat,Amazing 🙏🏻
Vibhati Yadav,Thanks Henry Harvin ....i will recommend my brother
me garima,Very informative video
shweta BHARDWAJ,Thanks for providing the guidelines. I was looking something like this thanks Henry harvin
Mohit Status Sagar,Beautiful Content written Course from Henry Harvin 🙂. I found top institutes of content writing course in India.
Kim Kapoor,Bestest platform and serving valuable information with support 👍
Manisha Singh,pretty much interesting😊. Henry Harvin Education is the good platform to start learning or to update skills or experience more about something we are keen understand.
Mushir Khan,"Yes I can say that, this is the quality of education what Henry Harvin is giving."
Priyankita Sur,Amazing. Very informative video and very well planned course structure
success laiba,The course is really so effective.i would really like to go for it
Shivank Sharmaji,"Well made video to help people understand what content writing is really about, must do course to make career in content writing."
Vipin Gupta,"I took a Content Writing course at Henry Harvin and I'm pleased to make the right choice. It was purely a delightful experience to take the training at Henry Harvin. The design of the course is very crisp, clear, and to the point. I joined the course intending to learn some techniques of writing and ended up as an enlightened person."
Anjali Maheshwari,Very informative and detailed content writing video thanks Henry Harvin for such a knowledgeable video
Mehjabee Ali,great demo Sir :)
nimra jilani,Very informative session... 👍👍
Aruja Sejal,The course is really good and also improved my writing skills and also communication skills as well....Worth having this course... !!!!
iqra jilani,"This is very informative demo provided by Henry Harvin, the person looking to enroll for course, will get all info here and its very easy to decide for going forward with this course."
Angel Akansha,Thank you henry harvin for such an informative session
priyanka singh,Really helpful session..best demo session..thank you sir
Tathagata Ghosh,Course content well curated and perfect for beginners.
mathematics solution,great video
Deepak verma,Awesome course
Surabhi Bharati,Thanks for the review.Henry Harvin’ s content writing course definitely helped me to put my foot in the door and explore the opportunities that content writing provides.
SUNITA YADAV,It was a very detailed review on Henry Harvin's content writing course. Thanks!
Shashi Gupta,"It was an awesome Henry Harvin content writing course delivered by an extraordinary real time trainer . Yes, I truly admire it and the knowledge, approach and ideas. Excellent content writing course."
Geeky tricks,Thank you for sharing this video
Vibhati Yadav,It's really helpful for me.Thanku so much ....Henry Harvin
Poonam Rawat,Amazing course and very well - designed course curriculum. ☺️☺️👌🏻
khalid kamal,This is the best content writing course for new writers
PÂŘÂĐÏŞË ĞÃMÎŃĢ,"Course content looks really detailed,  thank you for this demo Henry Harcin education"
Surabhi Bharati,The instructors are the stars of content writing course by Henry Harvin.
abhishek squareroot,Nice information provided  great knowledge shared
SUNITA YADAV,Thank you Henry Harvin for your continuous support.
Shanno Saifi,"Trainers are highly experienced in this HENRY HARVIN institute, we are very satisfied with the trainer and the services, especially Multiple time *Complete Live Course Training/Batch Repetition* facility after completion of course and *lifetime support*. Very satisfactory and worthy services. Keep it up @HENRY_HARVIN_EDUCATION"
Poonam Rawat,Very helpful content 😊thanks for sharing knowledge
Vibhati Yadav,It is a good session thanks Henry Harvin giving me this information
Geeky tricks,Best course for content writing...
Mehjabee Ali,very useful and interactive session Sir.
Mushir Khan,A great experience.very informative video
khalid kamal,This is the best content writing course for the new writers
me garima,Trainer has given description about Content Writing in very descriptive way..keep sharing
Kim Kapoor,A great experience 👍👍 completely interactive and valuable sessions.
success laiba,Trainer really took us through content writing very nicely. I recommend Henry Harvin to learn Content Writing
AMRESH KUMAR,sir very informative video it is. keep continue
Vibhati Yadav,It is detailed review on content writing course.Thank you so much Henry Harvin for this session.
AMIT KUMAR SAHU,It was a great Session Thank you so much Henry Harvin for this type of content.
Aakansha Srivastava,Nice course.. M satisfied with this course
Deepak verma,This is the best content writing course for new writers
khalid kamal,This is the best content writing course for the new writers
Aman Raj,Keep it up
SUNITA YADAV,"The best content writing course at Henry Harvin Education, Amazing!"
Surabhi Bharati,Vandana Mam I am a big fan of your clarity of thought and expression.I follow you on various forums. Your demo for Henry Harvin’s content writing course is simply superb. I have done the course and relate with it completely.
PÂŘÂĐÏŞË ĞÃMÎŃĢ,This is the best content writing course for new writers
Vipin Chaudhary,Thanks Henry Harvin for providing such a informative training..
Poonam Rawat,Amazing 😊👍🏻
Rahul Aggarwal,"Wow, I got best the best content writing course from this demo video. Thank you for sharing this demo video. ...."
Aruja Sejal,Lockdown had given me to explore and experience new things. Henry Harvin India's most trusted online teaching Institute has given me the opportunity to improve my writing skills by the Content Writing Course..The course is really good and beneficial....Guys I would really recommend you to do this course and open good opportunity for you in future...!!!😊
Mushir Khan,It was very detailed review on Henry Harvin's content writing course. Thanks..
Vibhati Yadav,Informative video i will join this course
Suhana Khan,Very Informative videos and all topics are very useful and helpful.
NOTION-VIDS,This is very helpful information... I was looking it for my brother... thanku for this explaination
Deepak verma,Good session i am  planning to join this course
Parminder Kaur,Very informative video thanks
abhishek squareroot,Informative content it help me to know about SAP fico course
Anjali Sharma,Very informative video and useful course 👍
Mushir Khan,Very informative session. Thanks
Poonam Rawat,Very informative session
SUNITA YADAV,"Very informative session, thanks Henry Harvin."
Aakansha Srivastava,Really very beneficial for us.. We should Must do this course
Mehjabee Ali,Informative
me garima,Productive and informative training
khalid kamal,Henryharvin is the best institute for this course
Chandrika Rao,"I wasn't aware of what Sap Fico is all about, this helped me a lot, thanks!"
Kim Kapoor,Very productive training 👍
Suguna S,"Hi everyone I am doing a certified course on Technical Writing in Henry Harvin Education, this course is really helped me to learn many technical tools and how to apply these tools to make effective reports in my professional life.This course is also increased my inquisitiveness to do research and to learn more about different technical tools which are available , by using this tools we could make a effective reports so that the reader / the audience can easily understand it.Now I can make a effective difference between creative writing, content writing and technical writing. this also helped me to do reviews of other technical reports done by different stakeholders.Thanks to Henry Harvin education and to my instructor Mr. Gopal for giving us very informative and real time project oriented information."
Sanjoli Solanki,"The content writing course (CDCW) offers a detailed syllabus covering required topics. The online classes run smoothly with availability of open discussion, doubt clearing and interactive tasks.The content writing course (CDCW) offers a detailed syllabus covering required topics. The online classes run smoothly with availability of open discussion, doubt clearing and interactive tasks.The content writing course (CDCW) offers a detailed syllabus covering required topics. The online classes run smoothly with availability of open discussion, doubt clearing and interactive tasks."
Karthikeyeni R,I'm the student of Content Writing Course. Love the modules of Henry Harvin. They are well structured and easy to understand for a newbie like me. Our trainer Urvashi is amazing. Her attitude is awesome. Love her patience and concern . Her communication is good and appreciate her knowledge in facilitating the various strategies.
Shamini,"I am doing Content Writing Course now in Henry Harvin. Urvashi is a good teacher, she tries her best to deliver all the essential data a content writer can have. at beginning, I was in a doubt whether, the fees amount I paid was really going to help me. But with 6 days itself, I been very happy and confident about the course. Every second is very helpful. Highly recommended!!!!!"
Priyanka Bhasin,"Searching for an alternative career redirected me to Henry Harvin Education website. The courses fascinated me a lot and thought to give a try but did not know where to start. Filled in my details and within a day got a call from my manager, MS. KIM KAPOOR. I explained in details about my requirements and she suggested me content writing and TEFL course.Still sceptical, I started with the content writing course headed by the trainer MS. VANDANA SAXENA. To my satisfaction, the course was much more than I expected it to be. Lots to learn from Vandana Ma'am. Great teacher, interactive sessions and amazing learning based assignments.Extremely happy with the decision I made. Kim has been immensely supportive as and when required. She has all the ways to help the learners.The best education Center which is worth the investment I made.Thank you team Henry Harvin Education"
Tarini Ambika,"I have taken up a combination course- Digital Content Writing and Advanced Technical Writing. Both the courses have been detailed and informative. They are thoroughly structured to give us adequate information. Gaurav Anand who my trainer had been very prolific and clarifies all the queries with patience. He makes the session interesting and fun. His answers to my questions, gave me unique perspective to ponder. One of the best parts about Henry Harvin is the Relation Manager. Kim, who was my relationship manager has been cordial and helped me manage all the logistics part. She has been very proactive irrespective of the time I contact her. She made my journey very smooth and easy. Thank you, Henry Harvin! Great learning with you!"
